ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
47891	GROUPE CYRES S.A.R.L.	2008-09-11	26,858	1,024	4	
48259	Diademys SAS	2008-10-30	24,800	1,024	1	
48310	IMS DYNAMICS SASU	2014-11-18	28,383	1,024	3	1
50135	OpWan SARL	2009-11-20	27,907	1,024	1	
50474	o2switch SARL	2010-01-22	30,054	1,024	4	
50702	Planet-Work	2010-03-11	27,263	1,024	1	1
51083	Grenode	2010-05-28	29,492	1,024	3	4
51630	OPS TELECOM SRL	2014-11-12	25,642	1,024	1	
57348	Oxya FRANCE SA	2011-10-04	26,746	1,024	4	1
57839	Carrefour Organisation et Systemes Groupe SAS	2012-02-20	24,702	1,024	1	1
57902	Metro Optic SASU	2014-10-28	28,275	1,024	1	1
59689	Keyade SAS	2012-09-21	25,706	1,024	1	1
59877	VA SOLUTIONS S.R.L.	2014-08-25	27,136	1,024	1	
60001	PLUG IT SARL	2014-07-03	26,453	1,024	2	
60032	SNC CCS	2014-06-20	26,457	1,024	1	1
60046	Region de Martinique	2014-06-16	27,160	1,024	5	
60362	ALWAYSDATA SARL	2013-08-01	27,924	1,024	1	1
60427	System-Net Sas	2014-07-21	27,210	1,024	2	1
60444	Etheractis SASU	2013-07-17	29,374	1,024	1	1
60491	No Limit Network SARL	2013-07-10	29,385	1,024	1	1
60532	SAS B & C, B & C COM', B & C GROUP	2013-07-01	27,944	1,024	1	1
60601	HSYS SAS	2013-06-18	29,397	1,024	1	1
60686	SAS Inter Mutuelles Teleassistance	2013-05-29	30,070	1,024	1	
60697	Association de moyens klesia	2013-05-27	25,121	1,024	4	
60703	MULTIDIST SARL	2013-05-27	27,971	1,024	1	1
60737	NEURONES IT	2013-05-21	29,409	1,024	4	
60828	AKUBE SAS	2013-05-01	27,264	1,024	1	1
60855	direction interministerielle des systemes d'inform	2013-04-24	28,004	1,024	6	
61086	GIE ORTEC SERVICES	2013-02-21	30,148	1,024	1	
61136	I.E.S. Informatique SARL	2013-02-04	30,157	1,024	1	
61168	Planet Service SARL	2013-01-25	30,162	1,024	1	
61217	EMAIL MARKETING SAS	2013-01-08	25,204	1,024	1	
61221	IVALUA SAS	2013-01-04	27,321	1,024	4	4
61394	GL EVENTS SI SNC	2012-10-26	27,339	1,024	1	1
62038	REGIE MUNICIPALE D'ELECTRICITE	2014-03-12	28,508	1,024	1	1
62141	COMPAGNIE NATIONALE DU RHONE S.A.	2014-01-29	29,246	1,024	1	
62202	Union Technique du Batiment Societe cooperative a 	2013-12-30	26,388	1,024	1	
196670	ADP-EUROPE ADPGSI FRANCE,FR	2009-09-30	26,057	1,024	2	1
197081	REE Regie Autonome Electric Cable Chauffage EPIC,F	2010-05-21	29,675	1,024	1	
198912	SITA-AS Societe Internationale de Telecommunicatio	2012-06-19	26,719	1,024	1	
198997	INTERVEILLE-AS-FR Interveille Global SAS,FR	2012-07-11	26,026	1,024	1	1
