ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
50439	Municipal enterprise CJSC of Zheleznogorsk Krasnoy	2010-01-18	15,852	4,096	2	
50449	Limited Liability Company "Kvant"	2010-01-19	13,840	4,096	1	
50466	Noutek Ltd	2010-01-21	13,843	4,096	5	
50538	OOO "Petrosvyaz"	2010-02-05	15,858	4,096	9	
50553	OOO Stalnet	2010-06-22	14,730	4,096	2	
50752	Satis Svyaz CJSC	2010-03-19	14,162	4,096	3	
50771	TTK Ltd.	2010-03-22	13,869	4,096	1	
50789	Amatek Ltd	2010-03-24	15,044	4,096	1	
51012	LLC "Uralpromservice"	2011-03-02	14,184	4,096	2	
51093	VmCity LLC	2010-05-28	15,894	4,096	1	
51118	"HOT LINE" Ltd.	2010-06-03	15,352	4,096	1	
51583	LLC "Kuzbass phone networks"	2010-10-04	14,649	4,096	16	
51751	Saratov State Tehnical University	2010-10-29	14,658	4,096	1	
51900	"the Internet plus" LLC	2010-11-26	15,788	4,096	1	
51916	Limited liability company RUFT	2010-11-29	14,954	4,096	1	
52175	Magellan Telecom Kuzbass Ltd.	2011-01-19	15,259	4,096	9	
52194	IT Ltd	2011-01-24	14,972	4,096	1	
56326	9-ka.ru Ltd.	2011-01-31	14,337	4,096	2	
56350	OJSC Rostelecom	2011-02-09	14,917	4,096	1	
56419	MediaCom Ltd.	2011-02-17	14,926	4,096	1	
56463	OOO "BSCOM"	2011-02-25	13,755	4,096	9	1
56541	KOMETA LLC	2011-03-14	13,757	4,096	8	
56669	Noyabrskneftegazsvyaz Ltd	2011-04-21	13,628	4,096	1	
56707	OOO NETCOM	2011-04-29	13,909	4,096	6	
56761	ZAO "Multicabelnye seti Miassa"	2011-05-19	13,634	4,096	10	
57091	Kompjuternye seti MSN Ltd	2011-07-15	14,226	4,096	1	
57182	MediaDom Ltd.	2011-08-12	15,390	4,096	1	
57204	CJSC Startelecom-Center	2011-08-19	13,651	4,096	1	
57320	Ionit-telecom Ltd.	2011-09-23	15,111	4,096	1	
57712	NPF SOFTVIDEO Ltd.	2012-01-23	14,260	4,096	1	
57824	MetroNet Ltd	2012-02-27	15,434	4,096	1	
57990	PE Aliev Murad Ahmedovich	2012-03-27	13,690	4,096	1	
58067	OAO Chitatehenergo	2012-04-12	15,453	4,096	17	
58128	OOO "Network Professionals"	2012-05-10	14,590	4,096	1	
58136	OOO RGTS "Parus"	2012-05-11	14,592	4,096	16	
59515	Inter.Com Ltd	2012-07-31	14,366	4,096	9	
61360	Special Engineering and Design Bureau "Orbita" JSC	2012-11-09	14,189	4,096	2	
196648	YSU-AS Yakutsk State University n.a.M.K.Ammosov, S	2009-01-30	14,554	4,096	16	
196747	ELECTRONIC-GOVERNMENT OJSC Rostelecom,RU	2010-01-14	15,121	4,096	3	
197150	MCRBN-AS Federal State Unitary Enterprise of the O	2010-07-01	13,686	4,096	1	
197235	SEVEREN-VOLGA CJSC "Avantel" branch in Samara,RU	2010-08-25	14,276	4,096	2	
197390	RATELE-AS JSC RA Telecom,RU	2010-11-12	15,714	4,096	8	
197443	KRASLINK-AS KrasLink, Ltd,RU	2010-12-02	14,879	4,096	1	
197708	EGS63 ZAO EnergoGarantService,RU	2011-04-01	15,192	4,096	3	
198110	VISTLINK LLC "VISTlink",RU	2011-10-04	15,751	4,096	11	
198616	ASMEDIAKVANT MediaKvant Ltd.,RU	2012-03-23	14,215	4,096	17	
198715	ASORBITA Orbita Ltd.,RU	2012-04-19	15,639	4,096	1	
198718	SEVERSVJAZ-AS OAO SEVERSVJAZ,RU	2012-07-20	14,221	4,096	2	
199096	LOGOS-AS CJSC "Digital network "Logos",RU	2012-08-10	15,400	4,096	7	
199295	M100 Limited Liability Company Data Center M100,RU	2013-03-21	14,830	4,096	1	2
