ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
60273	ALTANETICA S.L.	2013-08-21	23,910	1,280	2	
60807	Durcatel CB	2013-05-08	24,303	1,280	4	
197740	TVTRUJILLO-ASN Television Trujillo S.L.,ES	2011-04-11	23,920	1,280	2	
199292	SAUCEJO-AS Antonio Borrego Pineda,ES	2013-03-22	23,727	1,280	5	
200030	DVBLAB-AS Dvblab Communication SL,ES	2013-10-28	23,902	1,280	2	1
202211	MMCSL Manuel Mariposa Consulting SL,ES	2014-03-10	23,834	1,280	2	
25247	AUTONOMOUS SYSTEM OF IBERCAJA, A SPANISH BANK LOCA	2002-09-11	27,770	1,024	1	
31082	MCCTELECOM, S.COOP.	2004-02-24	28,311	1,024	1	
31346	Datadec Online, S.A.	2004-04-20	26,926	1,024	4	
35116	InfoCasa Information Technologies S.L.	2005-06-06	25,259	1,024	1	
39353	Gobierno del Principado de Asturias	2006-02-07	27,803	1,024	3	
41397	Redes Digitales de Telecomunicacion en Internet SL	2015-01-16	26,906	1,024	1	
42325	GAS NATURAL FENOSA TELECOMUNICACIONES,S.A.	2007-02-02	24,969	1,024	1	
42749	Dimension Virtual SL	2007-04-11	29,329	1,024	1	
42816	Flumotion Services SA	2007-04-20	28,618	1,024	4	
43089	QUANTUM SISTEMAS, SA	2007-06-04	25,094	1,024	4	
43115	Consorci Institut de Fisica Altes Energies	2007-06-08	27,271	1,024	1	1
43988	Access Basic Server S.L.	2007-10-31	25,583	1,024	4	1
48884	Linea Directa Aseguradora, S.A.	2009-02-24	28,326	1,024	5	
49054	Tuenti Technologies, S.L.	2009-04-01	26,732	1,024	2	
50564	Electronica Martinez de Cartagena S.L.	2010-02-11	29,630	1,024	3	
51676	FUNDACIO PER LA NAVEGACIO OCEANICA DE BARCELONA	2010-10-19	28,867	1,024	1	
59723	VAECOM TELECOMUNICACIONES, SL	2012-10-09	27,848	1,024	4	
59908	BalaLink S.A.	2014-08-15	29,298	1,024	1	1
60171	WAPOP AFRICA INTERCONECT EXCHANGE, S.L.	2013-09-10	27,217	1,024	1	
60385	OPTIMA INFORMATION SERVICES S.L.U.	2013-07-29	27,260	1,024	1	
60397	SAT TV PLUS SLU	2013-07-25	28,674	1,024	2	
60551	D.P.S. Giro-consulting S.L.	2013-06-26	27,998	1,024	4	
60675	Server Serveis i Productes Informatics, S.L.	2013-05-30	26,617	1,024	1	1
60917	TEDRA SISTEMAS S.L.	2013-04-12	30,238	1,024	4	1
62352	NETLLAR SL	2013-10-28	29,936	1,024	1	
62409	OCEANS NETWORK, S.L.	2013-10-02	29,945	1,024	4	
197240	ASP-TECHNOLOGY ASP Alerce Technology S.L.,ES	2010-08-26	25,004	1,024	2	
198853	I2BASQUE Fundacion ikerbasque,ES	2012-06-01	26,237	1,024	1	1
199272	ACCELYA Accelya World SLU,ES	2013-04-02	24,915	1,024	5	
199359	MERTEL TELECOMUNICACIONES MERINO S.A,ES	2013-02-26	25,608	1,024	1	
199496	EBRETIC-AS EBRETIC Enginyeria SL,ES	2012-12-24	26,382	1,024	1	1
199589	ARCONET Arconet Servicios Telematicos S.L.,ES	2012-11-13	29,941	1,024	1	
199652	TELITEC Telitec Connections S.L.,ES	2012-10-24	24,971	1,024	4	
199738	WIVACABLE-AS Wiva Telecom S.L.,ES	2014-02-19	25,672	1,024	1	
199905	AS_TRIANGULO TRIANGULO DE CONTROL G-3 S.A.,ES	2013-12-12	29,998	1,024	1	
199913	SOYTIC SoyTIC Tecnica e Innovaciones S.L.,ES	2013-12-10	28,561	1,024	4	
199961	OSOFON-AS Joan Gaudes Guzman,ES	2013-11-25	27,877	1,024	4	1
200014	AS_QUINTEIVA Quinteiva S.L.,ES	2013-10-31	28,584	1,024	1	
201234	SBT Spotting Brands Technologies S.L,ES	2014-12-16	25,071	1,024	1	1
201337	INGERTV Inger TV S.L.,ES	2014-11-20	25,799	1,024	1	
201466	XTA-AS Xarxes de Telecomunicacions Alternatives SL	2014-10-17	27,975	1,024	1	1
201551	VADAVO VADAVO SOLUCIONES SL,ES	2014-09-26	28,699	1,024	1	
201704	ESOLLERENSE-AS Electrica Sollerense SAU,ES	2014-08-08	28,018	1,024	1	
201735	PROPHASE-AS PROPHASE ELECTRONICS, S.L.,ES	2014-07-31	27,338	1,024	1	
201746	OLIVENET-AS ELECOM TRADE SL,ES	2014-07-28	27,340	1,024	4	
201752	NLTG-AS NL Telecoms Group S.L.,ES	2014-07-25	30,179	1,024	4	1
201843	IBERSONTEL IBERICA DE SONORIZACION Y TELECOMUNICAC	2014-06-27	30,196	1,024	3	
202054	S4N-AS GRUPO SYS4NET, S.L.,ES	2014-04-24	27,428	1,024	1	
202125	ACACIO ACACIO SERVICIOS TELEMATICOS S.L.,ES	2014-04-01	30,272	1,024	1	
202169	SSN-AS Scan Sat Network, S.L.,ES	2014-03-20	27,586	1,024	1	
202198	ES-HERCOM Hercules Comunicaciones Sociedad Limitad	2014-03-13	24,713	1,024	1	1
202207	EAM EAM Sistemas Informaticos, S.L.,ES	2014-03-12	28,998	1,024	1	
30937	Tecnologia E Ingenieria De Sistemas Y Servicios Av	2004-01-21	30,759	768	3	1
34601	Intercom Factory S.L.	2005-02-22	30,556	768	2	1
41140	Ministerio de Sanidad, Politica Social e Igualdad	2006-06-20	30,336	768	2	
60609	APFUTURA INTERNACIONAL SOLUCIONES SL	2013-06-17	30,479	768	3	
60813	Banco Sabadell	2013-05-07	30,923	768	3	
196834	SOFTEC_INTERNET Softec Internet, S.L.,ES	2009-07-21	31,253	768	3	
198963	DTCTY-AS Datacity Comunicaciones SL,ES	2012-07-03	31,822	768	2	
6895	ASOCIACION ESPANIX	1997-01-08	36,976	512	2	
8827	CELSA IT SERVICES SA	2012-05-07	34,801	512	1	
20905	Banco de Espana	2001-07-03	36,733	512	2	
20906	Allians Compania De Seguros y Reaseguros SA	2001-07-03	37,446	512	1	
21038	Line Informatica Profesional SL	2001-08-03	36,088	512	1	
24772	Agrupacion de dervicios de internet y prensa AIE	2002-03-21	34,282	512	2	
24920	TECNICOS DE LOTERIAS DEL ESTADO	2002-05-22	34,319	512	1	
25412	Corporacio Catalana de Mitjans Audiovisuals	2002-11-14	35,152	512	2	
29117	Asociacion IRC Hispano	2003-06-06	37,247	512	2	1
29397	Hewlett-Packard Outsourcing Espana SL	2011-03-24	35,223	512	2	
31262	INTERCAMBIO ELECTRONICO DE DATOS Y COMUNICACIONES 	2004-04-01	35,726	512	2	
31386	ASOCIACION TECNICA CAJAS DE AHORROS, A.I.E	2004-05-03	35,753	512	2	
31418	SOGECABLE S.A.	2004-05-11	35,044	512	2	
31627	Servicios Para Medios De Pago SA	2004-06-25	34,333	512	2	
34114	Consorcio de la Zona Franca de Cadiz	2004-10-27	33,420	512	1	
35264	Gobierno de Cantabria	2005-07-05	36,911	512	2	
35461	ACCIONA	2005-08-12	36,922	512	2	
41868	NVIA GESTION DE DATOS SL	2006-11-06	34,363	512	2	
42211	Ministerio de Defensa	2007-01-16	35,901	512	3	
43528	Universal Telecom Experts S.L	2007-08-16	35,455	512	1	
44127	J&A GARRIGUES S.L.	2007-11-21	35,873	512	2	
44280	Diputacio de Girona	2007-12-17	35,898	512	1	
48569	NIXUS NETWORKS S.L.	2008-12-10	34,018	512	1	
49008	Elstir S.L.	2009-03-23	34,030	512	1	
49538	Partido Socialista Obrero Espanol (PSOE)	2009-06-26	36,917	512	1	
50235	OFICINA DE ARMONIZACION DEL MERCADO INTERIOR (OAMI	2009-12-08	33,375	512	2	
50335	PANDA SECURITY S.L.	2009-12-21	35,576	512	2	
59739	Almirall SA	2014-10-21	33,024	512	2	
197478	ASINGENIA INGENIA S.A.,ES	2010-12-17	33,817	512	2	
197983	YOUZEE-MAIN Manaslu Media Entertainment SL,ES	2011-08-04	33,935	512	1	
198584	IBRED Red digital de telecomunicaciones de las isl	2012-03-15	33,494	512	1	
198871	DIPCAS-AS Diputacion de Castellon,ES	2012-06-07	33,568	512	2	
199312	MEGAVISTA Megavista Online S.L.,ES	2013-03-14	35,862	512	2	
199603	OCTANIO-2 Octanio Sistemas Informaticos SL,ES	2012-11-09	34,463	512	1	
